training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.5,0.5632957220077515
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.8,0.8638807535171509
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.9,0.9457428455352783
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.95,0.9789031744003296
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.5,0.6175236701965332
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.8,0.9072783589363098
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.9,0.9705214500427246
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.95,0.9910447597503662
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.5,0.6226297616958618
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.8,0.9079101085662842
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.9,0.9699218273162842
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.95,0.9904688596725464
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.5,0.6153793334960938
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.8,0.9017956256866455
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.9,0.9663457870483398
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.95,0.9886980056762695
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.5,0.515012264251709
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.8,0.8254751563072205
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.9,0.9237737655639648
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.95,0.9681168794631958
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.5,0.5899165868759155
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.8,0.886416494846344
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.9,0.9596309661865234
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.95,0.9863097667694092
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.5,0.622624933719635
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.8,0.9095685482025146
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.9,0.9713513851165771
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.95,0.9913101196289062
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.5,0.5823010206222534
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.8,0.8773018717765808
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.9,0.9528515338897705
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.95,0.9821958541870117
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.5,0.5351336002349854
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.8,0.8477407693862915
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.9,0.9389822483062744
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.95,0.9766548871994019
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.5,0.5884907245635986
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.8,0.8903244733810425
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.9,0.9631443023681641
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.95,0.9883351922035217
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.5,0.6349776983261108
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.8,0.9173929691314697
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.9,0.9750131964683533
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.95,0.9927657246589661
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.5,0.6113240122795105
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.8,0.8988200426101685
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.9,0.9647271633148193
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.95,0.9879316687583923
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.5,0.3066714406013489
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.8,0.6284962892532349
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.9,0.7903871536254883
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.95,0.8889219760894775
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.5,0.36697638034820557
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.8,0.7184563875198364
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.9,0.8674577474594116
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.95,0.9428584575653076
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.5,0.44347888231277466
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.8,0.7924755811691284
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.9,0.9145454168319702
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.95,0.9677302241325378
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.5,0.49566012620925903
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.8,0.8137860298156738
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.9,0.9182323217391968
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.95,0.965735137462616
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.5,0.3400617241859436
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.8,0.6470905542373657
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.9,0.7958864569664001
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.95,0.8882307410240173
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.5,0.3693723678588867
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.8,0.7129778265953064
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.9,0.8610016107559204
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.95,0.9381855726242065
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.5,0.45221415162086487
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.8,0.7750704884529114
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.9,0.8934471011161804
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.95,0.9519253373146057
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.5,0.4930651783943176
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.8,0.8054208755493164
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.9,0.9101853966712952
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.95,0.9599529504776001
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.5,0.5299242734909058
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.8,0.8377484679222107
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.9,0.9310058951377869
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.95,0.9717805981636047
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.5,0.5521816611289978
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.8,0.8528404235839844
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.9,0.9389721155166626
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.95,0.975556492805481
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.5,0.6020803451538086
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.8,0.8959447145462036
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.9,0.9646583795547485
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.95,0.9884953498840332
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.5,0.5864135026931763
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.8,0.880971372127533
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.9,0.9551623463630676
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.95,0.9834499955177307
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.5,0.4828287959098816
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.8,0.7961829900741577
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.9,0.9051727056503296
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.95,0.9580161571502686
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.5,0.5612300038337708
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.8,0.8648420572280884
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.9,0.9483624696731567
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.95,0.9814059734344482
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.5,0.5860487222671509
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.8,0.8877188563346863
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.9,0.9615484476089478
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.95,0.9875593185424805
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.5,0.5981999635696411
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.8,0.8896933794021606
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.9,0.9599660634994507
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.95,0.9857643842697144
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.5,0.3839237093925476
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.8,0.7056592702865601
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.9,0.848900556564331
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.95,0.9288814663887024
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.5,0.43348628282546997
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.8,0.7558530569076538
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.9,0.8835891485214233
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.95,0.9490677118301392
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.5,0.5007448792457581
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.8,0.8313507437705994
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.9,0.9343702793121338
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.95,0.9765062928199768
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.5,0.5570746064186096
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.8,0.8642541170120239
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.9,0.9479984045028687
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.95,0.9808902740478516
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.5,0.5722861289978027
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.8,0.8683258891105652
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.9,0.9474322199821472
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.95,0.9794604182243347
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.5,0.6319893598556519
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.8,0.914581298828125
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.9,0.9735495448112488
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.95,0.9921767711639404
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.5,0.6570553779602051
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.8,0.9297841787338257
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.9,0.9803231954574585
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.95,0.9947152137756348
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.5,0.6430814862251282
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.8,0.9196375608444214
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.9,0.9750608801841736
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.95,0.9924065470695496
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.5,0.6738216876983643
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.8,0.9383232593536377
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.9,0.9836719036102295
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.95,0.9958323240280151
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.5,0.6868274211883545
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.8,0.9447035789489746
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.9,0.9861105680465698
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.95,0.9966295957565308
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.5,0.6866174340248108
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.8,0.9446740746498108
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.9,0.9861207604408264
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.95,0.9966392517089844
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.5,0.6252729892730713
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.8,0.9082696437835693
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.9,0.969545841217041
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.95,0.9900739192962646
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.5,0.6333552002906799
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.8,0.9146550297737122
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.9,0.9731014370918274
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.95,0.9917550683021545
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.5,0.6301802396774292
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.8,0.9126628637313843
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.9,0.9721807241439819
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.95,0.991396427154541
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.5,0.6634601354598999
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.8,0.9323441982269287
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.9,0.9810590147972107
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.95,0.9948561191558838
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.5,0.6269567608833313
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.8,0.9094335436820984
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.9,0.9701497554779053
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.95,0.9903473854064941
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.5,0.5546882748603821
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.8,0.8623862862586975
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.9,0.9476871490478516
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.95,0.9812752604484558
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.5,0.5990234613418579
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.8,0.8989213705062866
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.9,0.9679605960845947
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.95,0.9905558824539185
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.5,0.6495077610015869
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.8,0.9236334562301636
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.9,0.9771944284439087
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.95,0.9934399127960205
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.5,0.6362016201019287
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.8,0.9158039093017578
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.9,0.9734341502189636
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.95,0.9918190240859985
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.5,0.5262832641601562
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.8,0.8359426259994507
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.9,0.9319621324539185
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.95,0.9736426472663879
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.5,0.5449514389038086
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.8,0.8558055758476257
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.9,0.9449019432067871
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.95,0.9804366827011108
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.5,0.6262674331665039
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.8,0.9113039374351501
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.9,0.9721697568893433
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.95,0.9916929006576538
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.5,0.6299552917480469
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.8,0.9126350283622742
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.9,0.9722214341163635
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.95,0.9914392232894897
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.5,0.6100856065750122
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.8,0.8993005752563477
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.9,0.9655301570892334
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.95,0.9885343313217163
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.5,0.6542060971260071
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.8,0.9271581172943115
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.9,0.9788141250610352
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.95,0.994013786315918
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.5,0.6458091735839844
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.8,0.9232627153396606
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.9,0.9774442911148071
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.95,0.9936246275901794
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.5,0.6123266220092773
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.8,0.8993184566497803
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.9,0.9648969769477844
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.95,0.9879661798477173
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.5,0.5559307932853699
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.8,0.8561191558837891
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.9,0.9404532313346863
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.95,0.9758884906768799
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.5,0.6036587953567505
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.8,0.8958286643028259
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.9,0.9642077684402466
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.95,0.988164484500885
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,14,0.5,0.6420254707336426
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,14,0.8,0.9222368001937866
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,14,0.9,0.9773775935173035
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0,14,0.95,0.9937306642532349
